Elapsed time (s),Therm 1 Temp (C),Therm 2 Temp (C),Battery Voltage (V),Payload Current (A),Sun Angle (degrees)
95.334,29.293,27.828,8.138,1.235,-28.8
95.559,29.644,28.613,8.128,1.235,-36
96.276,29.118,27.915,8.128,1.235,-43.2
96.485,29.293,27.915,8.118,1.255,0
96.578,29.293,27.225,8.128,1.235,-7.2
96.705,29.293,27.915,8.128,1.036,-7.2
96.915,29.293,27.915,8.407,1.494,-7.2
97.143,29.293,27.915,8.377,1.464,-14.4
97.263,29.206,27.655,8.128,1.245,-21.6
97.362,29.293,27.915,8.128,1.355,-21.6
97.583,29.293,27.915,8.377,1.464,-21.6
97.937,29.293,27.915,8.118,1.255,-14.4
98.385,29.293,27.915,8.118,1.245,0
98.61,29.206,27.915,8.407,1.534,0
98.839,29.293,27.915,8.038,1.136,-7.2
99.059,29.293,28.002,8.038,1.136,-14.4
99.284,29.644,28.002,8.128,1.235,-21.6
99.488,29.206,28.002,8.108,1.255,0
99.714,29.206,28.002,8.138,1.245,-7.2
99.935,29.206,28.002,8.138,1.215,-14.4
100.16,29.206,28.002,8.138,1.205,-21.6
100.4,29.206,28.002,8.407,1.494,-28.8
100.63,29.293,28.002,8.138,1.235,-36
100.85,29.206,28.002,8.407,1.494,-43.2
101.07,29.644,28.002,8.128,1.235,-50.4
101.18,29.293,28.002,8.138,1.215,-57.6
101.41,29.293,28.002,8.138,1.036,-57.6
101.64,29.293,28.002,8.606,1.693,-64.8
101.86,29.293,28.876,8.118,1.255,-57.6
102.08,29.206,28.002,8.138,1.036,-64.8
102.21,29.206,28.089,8.148,1.235,-72
102.43,30.087,28.002,8.128,1.235,-72
102.64,29.293,28.089,8.118,1.265,-64.8
102.86,29.293,28.089,8.118,1.265,-57.6
103.09,29.293,28.964,8.118,1.255,-50.4
105.15,29.206,28.089,8.118,1.235,-43.2
107.7,29.206,28.35,8.118,1.255,0
108.03,28.251,27.569,8.188,1.275,0
110.2,29.031,27.569,8.188,1.275,0
110.3,29.206,28.176,8.178,1.245,0
110.39,29.206,28.176,8.278,1.355,0
110.49,29.206,28.176,8.178,1.255,0
110.59,29.206,28.176,8.178,0.926,0
110.68,29.206,28.176,8.198,1.295,0
110.78,29.206,28.176,8.417,1.494,0
110.87,29.206,28.176,8.178,1.275,0
110.98,29.206,28.964,8.188,1.275,0
111.07,29.206,28.176,8.178,1.275,0
111.17,29.206,28.176,8.178,1.255,0
111.27,29.206,28.176,8.686,1.763,0
111.37,29.206,28.176,8.188,1.275,0
111.46,29.998,28.176,8.178,1.275,0
111.56,29.381,28.263,8.178,1.275,0
111.65,29.206,28.964,8.178,1.265,0
111.75,29.206,28.263,8.178,1.275,0
111.85,29.206,28.263,8.178,1.245,0
111.94,29.206,28.263,8.178,1.275,0
112.06,29.206,28.263,8.188,1.275,0
112.14,29.206,28.263,8.178,1.275,0
112.25,29.206,28.263,8.178,1.185,0
112.34,29.206,28.263,8.178,1.275,0
112.46,29.293,28.263,8.188,1.275,0
112.54,29.206,28.263,8.198,1.275,0
112.65,29.206,28.263,8.278,1.355,0
112.86,29.206,28.263,8.178,1.126,0
112.97,30.087,28.263,8.178,1.265,0
113.17,29.644,29.053,8.188,1.275,0
113.64,29.206,28.35,8.606,1.683,0
113.86,29.206,28.35,8.278,1.355,0
114.09,29.206,28.35,8.646,1.683,-7.2
114.31,29.206,28.35,8.208,1.255,-14.4
114.52,28.597,28.263,8.188,1.245,-21.6
114.74,29.206,28.35,8.198,1.225,-28.8
114.97,29.206,27.828,8.198,1.255,-36
115.19,29.206,28.35,8.427,1.464,-43.2
115.43,29.206,28.438,8.208,1.255,-50.4
115.66,29.206,28.438,8.198,1.255,-57.6
115.88,29.206,28.438,8.178,1.165,-50.4
116.1,29.206,28.438,8.606,1.683,-43.2
116.22,29.206,28.438,8.188,1.265,-36
116.33,28.51,27.569,8.178,1.275,-36
116.41,29.206,28.438,8.178,1.424,-36
116.53,29.206,28.35,8.686,1.763,-36
116.62,29.206,27.742,8.188,1.285,-36
116.74,29.206,28.35,8.178,1.096,-36
116.82,29.206,28.35,8.417,1.494,-36
116.93,28.597,28.35,8.178,1.275,-36
117.03,29.206,28.35,8.278,1.355,-36
117.12,29.206,28.35,8.188,1.275,-36
117.24,29.206,28.35,8.178,1.275,-36
117.33,29.206,28.35,8.278,1.355,-36
117.43,29.206,28.35,8.188,1.275,-36
117.54,29.206,28.35,8.178,1.275,-36
117.77,29.206,28.35,8.178,1.245,-36
117.89,29.206,28.35,8.198,1.195,-43.2
117.97,29.206,28.35,8.198,1.235,-43.2
118.1,29.998,28.35,8.198,1.255,-43.2
118.3,29.206,28.35,8.198,1.265,-43.2
118.42,29.206,28.35,8.178,1.315,-36
118.51,29.206,28.35,8.417,1.504,-36
118.76,29.206,29.23,8.178,1.265,-36
119.47,29.206,28.438,8.178,1.126,0
119.68,29.206,28.438,8.168,1.265,0
119.89,29.206,28.438,8.636,1.713,7.2
120.11,29.206,28.438,8.606,1.683,-345.6
120.36,29.206,28.35,8.178,1.275,-338.4
120.58,29.206,28.438,8.038,1.126,-331.2
123.12,29.031,28.438,8.178,1.275,-324
123.47,28.251,27.742,8.178,1.265,0
123.94,29.644,29.141,8.178,1.265,0
125.01,29.206,29.23,8.168,1.275,0
125.23,29.206,28.438,8.188,1.275,0
125.96,29.206,28.438,8.178,1.275,7.2
126.04,29.998,28.35,8.178,1.265,0
126.14,29.206,28.438,8.178,1.275,0
126.24,28.51,27.569,8.178,1.265,0
126.33,29.206,28.438,8.178,1.265,0
126.43,29.733,28.438,8.178,1.175,0
126.54,29.206,28.438,8.178,1.116,0
126.62,29.206,28.438,8.178,1.275,0
126.72,29.206,28.438,8.178,1.096,0
126.81,29.206,28.438,8.178,1.275,0
126.91,29.206,28.438,8.178,1.424,0
127,29.206,28.438,8.178,1.275,0
127.1,29.206,28.438,8.198,1.285,0
127.21,29.206,28.438,8.178,1.285,0
127.3,29.998,28.35,8.178,1.275,0
127.39,29.206,28.438,8.178,1.275,0
127.51,29.644,28.438,8.178,1.175,0
127.6,29.206,28.438,8.178,1.275,0
127.69,29.206,28.438,8.178,1.275,0
127.81,29.206,28.438,8.447,1.524,0
127.89,29.206,28.438,8.178,1.275,0
128.01,28.597,28.438,8.178,1.126,0
128.1,29.206,28.438,8.188,1.275,0
128.19,29.206,28.438,8.238,1.325,0
128.39,29.206,28.438,8.178,1.185,0
128.51,29.206,28.438,8.397,1.454,-7.2
128.73,29.206,28.525,8.198,1.175,-7.2
128.84,29.206,28.525,8.178,1.175,0
128.94,29.206,28.525,8.447,1.524,0
129.03,29.733,28.525,8.178,1.175,0
129.26,29.293,28.525,8.178,1.126,0
129.49,29.206,28.525,8.228,1.315,0
129.6,29.206,28.525,8.188,1.255,-7.2
129.69,29.206,28.525,8.656,1.693,-7.2
129.77,29.206,28.525,8.198,1.265,-7.2
129.88,29.733,28.525,8.188,1.255,-7.2
129.99,29.998,28.35,8.198,1.255,-7.2
